type,route_name,origin,destination,time,distance,olat,olon,dlat,dlon
airplane,New York-Austin,New York,Austin,4.039254367582753,2431.4034940662027,40.7127281,-74.0060152,30.2711286,-97.7436995
airplane,Jacksonville-New York,Jacksonville,New York,2.680788875258056,1344.631100206445,30.3321838,-81.655651,40.7127281,-74.0060152
airplane,New York-Jacksonville,New York,Jacksonville,2.680788875258056,1344.631100206445,40.7127281,-74.0060152,30.3321838,-81.655651
airplane,Fort Worth-New York,Fort Worth,New York,3.813043579529,2250.4348636232,32.753177,-97.3327459,40.7127281,-74.0060152
airplane,New York-Fort Worth,New York,Fort Worth,3.813043579529,2250.4348636232,40.7127281,-74.0060152,32.753177,-97.3327459
airplane,Columbus-New York,Columbus,New York,1.958224754679263,766.5798037434105,39.9622601,-83.0007065,40.7127281,-74.0060152
airplane,New York-Columbus,New York,Columbus,1.958224754679263,766.5798037434105,40.7127281,-74.0060152,39.9622601,-83.0007065
airplane,Charlotte-New York,Charlotte,New York,2.068227383889906,854.5819071119246,35.2272086,-80.8430827,40.7127281,-74.0060152
airplane,New York-Charlotte,New York,Charlotte,2.068227383889906,854.5819071119246,40.7127281,-74.0060152,35.2272086,-80.8430827
airplane,San Francisco-New York,San Francisco,New York,6.161142697501214,4128.914158000971,37.7792588,-122.4193286,40.7127281,-74.0060152
airplane,New York-San Francisco,New York,San Francisco,6.161142697501214,4128.914158000971,40.7127281,-74.0060152,37.7792588,-122.4193286
airplane,Indianapolis-New York,Indianapolis,New York,2.294967493146828,1035.9739945174624,39.7683331,-86.1583502,40.7127281,-74.0060152
airplane,New York-Indianapolis,New York,Indianapolis,2.294967493146828,1035.9739945174624,40.7127281,-74.0060152,39.7683331,-86.1583502
airplane,Seattle-New York,Seattle,New York,5.831763073908357,3865.4104591266855,47.6038321,-122.330062,40.7127281,-74.0060152
airplane,New York-Seattle,New York,Seattle,5.831763073908357,3865.4104591266855,40.7127281,-74.0060152,47.6038321,-122.330062
airplane,Denver-New York,Denver,New York,4.273250410371205,2618.600328296963,39.7392364,-104.984862,40.7127281,-74.0060152
airplane,New York-Denver,New York,Denver,4.273250410371205,2618.600328296963,40.7127281,-74.0060152,39.7392364,-104.984862
airplane,Washington-New York,Washington,New York,1.4105015048413532,328.40120387308264,38.8950368,-77.0365427,40.7127281,-74.0060152
airplane,New York-Washington,New York,Washington,1.4105015048413532,328.40120387308264,40.7127281,-74.0060152,38.8950368,-77.0365427
airplane,Boston-New York,Boston,New York,1.3821298629919068,305.70389039352534,42.3554334,-71.060511,40.7127281,-74.0060152
airplane,New York-Boston,New York,Boston,1.3821298629919068,305.70389039352534,40.7127281,-74.0060152,42.3554334,-71.060511
airplane,El Paso-New York,El Paso,New York,4.822516444904758,3058.013155923806,31.7601164,-106.4870404,40.7127281,-74.0060152
airplane,New York-El Paso,New York,El Paso,4.822516444904758,3058.013155923806,40.7127281,-74.0060152,31.7601164,-106.4870404
airplane,Nashville-New York,Nashville,New York,2.5252536237383283,1220.2028989906626,36.1622767,-86.7742984,40.7127281,-74.0060152
airplane,New York-Nashville,New York,Nashville,2.5252536237383283,1220.2028989906626,40.7127281,-74.0060152,36.1622767,-86.7742984
airplane,Detroit-New York,Detroit,New York,1.9668208044635855,773.4566435708686,42.3315509,-83.0466403,40.7127281,-74.0060152
airplane,New York-Detroit,New York,Detroit,1.9668208044635855,773.4566435708686,40.7127281,-74.0060152,42.3315509,-83.0466403
airplane,Oklahoma City-New York,Oklahoma City,New York,3.6638597224758263,2131.087777980661,35.4729886,-97.5170536,40.7127281,-74.0060152
airplane,New York-Oklahoma City,New York,Oklahoma City,3.6638597224758263,2131.087777980661,40.7127281,-74.0060152,35.4729886,-97.5170536
airplane,Portland-New York,Portland,New York,5.90653334364825,3925.2266749186,45.5202471,-122.674194,40.7127281,-74.0060152
airplane,New York-Portland,New York,Portland,5.90653334364825,3925.2266749186,40.7127281,-74.0060152,45.5202471,-122.674194
airplane,Las Vegas-New York,Las Vegas,New York,5.481679163011888,3585.3433304095106,36.171697,-115.1463536,40.7127281,-74.0060152
airplane,New York-Las Vegas,New York,Las Vegas,5.481679163011888,3585.3433304095106,40.7127281,-74.0060152,36.171697,-115.1463536
airplane,Memphis-New York,Memphis,New York,2.918008401783651,1534.406721426921,35.1460249,-90.0517638,40.7127281,-74.0060152
airplane,New York-Memphis,New York,Memphis,2.918008401783651,1534.406721426921,40.7127281,-74.0060152,35.1460249,-90.0517638
airplane,Baltimore-New York,Baltimore,New York,1.3405185028412512,272.414802273001,39.2908816,-76.610759,40.7127281,-74.0060152
airplane,New York-Baltimore,New York,Baltimore,1.3405185028412512,272.414802273001,40.7127281,-74.0060152,39.2908816,-76.610759
airplane,Louisville-New York,Louisville,New York,2.305197990624747,1044.1583924997974,38.2542376,-85.759407,40.7127281,-74.0060152
airplane,New York-Louisville,New York,Louisville,2.305197990624747,1044.1583924997974,40.7127281,-74.0060152,38.2542376,-85.759407
airplane,Los Angeles-New York,Los Angeles,New York,5.919499113763441,3935.5992910107534,34.0536909,-118.242766,40.7127281,-74.0060152
airplane,New York-Los Angeles,New York,Los Angeles,5.919499113763441,3935.5992910107534,40.7127281,-74.0060152,34.0536909,-118.242766
airplane,Chicago-New York,Chicago,New York,2.42979606213935,1143.83684971148,41.8755616,-87.6244212,40.7127281,-74.0060152
airplane,New York-Chicago,New York,Chicago,2.42979606213935,1143.83684971148,40.7127281,-74.0060152,41.8755616,-87.6244212
airplane,Houston-New York,Houston,New York,3.851600533355089,2281.280426684071,29.7589382,-95.3676974,40.7127281,-74.0060152
airplane,New York-Houston,New York,Houston,3.851600533355089,2281.280426684071,40.7127281,-74.0060152,29.7589382,-95.3676974
airplane,Phoenix-New York,Phoenix,New York,5.304632982803513,3443.7063862428104,33.4484367,-112.074141,40.7127281,-74.0060152
airplane,New York-Phoenix,New York,Phoenix,5.304632982803513,3443.7063862428104,40.7127281,-74.0060152,33.4484367,-112.074141
airplane,Philadelphia-New York,Philadelphia,New York,1.1618625717403224,129.49005739225782,39.9527237,-75.1635262,40.7127281,-74.0060152
airplane,New York-Philadelphia,New York,Philadelphia,1.1618625717403224,129.49005739225782,40.7127281,-74.0060152,39.9527237,-75.1635262
airplane,San Antonio-New York,San Antonio,New York,4.181373988392717,2545.0991907141733,29.4246002,-98.4951405,40.7127281,-74.0060152
airplane,New York-San Antonio,New York,San Antonio,4.181373988392717,2545.0991907141733,40.7127281,-74.0060152,29.4246002,-98.4951405
airplane,San Diego-New York,San Diego,New York,5.884023917886699,3907.21913430936,32.7174202,-117.162772,40.7127281,-74.0060152
airplane,New York-San Diego,New York,San Diego,5.884023917886699,3907.21913430936,40.7127281,-74.0060152,32.7174202,-117.162772
airplane,Dallas-New York,Dallas,New York,3.757169936942471,2205.7359495539768,32.7762719,-96.7968559,40.7127281,-74.0060152
airplane,New York-Dallas,New York,Dallas,3.757169936942471,2205.7359495539768,40.7127281,-74.0060152,32.7762719,-96.7968559
airplane,San Jose-New York,San Jose,New York,6.127863538388092,4102.2908307104735,37.3361663,-121.890591,40.7127281,-74.0060152
airplane,New York-San Jose,New York,San Jose,6.127863538388092,4102.2908307104735,40.7127281,-74.0060152,37.3361663,-121.890591
airplane,Austin-New York,Austin,New York,4.039254367582753,2431.4034940662027,30.2711286,-97.7436995,40.7127281,-74.0060152
airplane,New York-Austin,New York,Austin,4.039254367582753,2431.4034940662027,40.7127281,-74.0060152,30.2711286,-97.7436995
airplane,Jacksonville-New York,Jacksonville,New York,2.680788875258056,1344.631100206445,30.3321838,-81.655651,40.7127281,-74.0060152
airplane,New York-Jacksonville,New York,Jacksonville,2.680788875258056,1344.631100206445,40.7127281,-74.0060152,30.3321838,-81.655651
airplane,Fort Worth-New York,Fort Worth,New York,3.813043579529,2250.4348636232,32.753177,-97.3327459,40.7127281,-74.0060152
airplane,New York-Fort Worth,New York,Fort Worth,3.813043579529,2250.4348636232,40.7127281,-74.0060152,32.753177,-97.3327459
airplane,Columbus-New York,Columbus,New York,1.958224754679263,766.5798037434105,39.9622601,-83.0007065,40.7127281,-74.0060152
airplane,New York-Columbus,New York,Columbus,1.958224754679263,766.5798037434105,40.7127281,-74.0060152,39.9622601,-83.0007065
airplane,Charlotte-New York,Charlotte,New York,2.068227383889906,854.5819071119246,35.2272086,-80.8430827,40.7127281,-74.0060152
airplane,New York-Charlotte,New York,Charlotte,2.068227383889906,854.5819071119246,40.7127281,-74.0060152,35.2272086,-80.8430827
airplane,San Francisco-New York,San Francisco,New York,6.161142697501214,4128.914158000971,37.7792588,-122.4193286,40.7127281,-74.0060152
airplane,New York-San Francisco,New York,San Francisco,6.161142697501214,4128.914158000971,40.7127281,-74.0060152,37.7792588,-122.4193286
airplane,Indianapolis-New York,Indianapolis,New York,2.294967493146828,1035.9739945174624,39.7683331,-86.1583502,40.7127281,-74.0060152
airplane,New York-Indianapolis,New York,Indianapolis,2.294967493146828,1035.9739945174624,40.7127281,-74.0060152,39.7683331,-86.1583502
airplane,Seattle-New York,Seattle,New York,5.831763073908357,3865.4104591266855,47.6038321,-122.330062,40.7127281,-74.0060152
airplane,New York-Seattle,New York,Seattle,5.831763073908357,3865.4104591266855,40.7127281,-74.0060152,47.6038321,-122.330062
airplane,Denver-New York,Denver,New York,4.273250410371205,2618.600328296963,39.7392364,-104.984862,40.7127281,-74.0060152
airplane,New York-Denver,New York,Denver,4.273250410371205,2618.600328296963,40.7127281,-74.0060152,39.7392364,-104.984862
airplane,Washington-New York,Washington,New York,1.4105015048413532,328.40120387308264,38.8950368,-77.0365427,40.7127281,-74.0060152
airplane,New York-Washington,New York,Washington,1.4105015048413532,328.40120387308264,40.7127281,-74.0060152,38.8950368,-77.0365427
airplane,Boston-New York,Boston,New York,1.3821298629919068,305.70389039352534,42.3554334,-71.060511,40.7127281,-74.0060152
airplane,New York-Boston,New York,Boston,1.3821298629919068,305.70389039352534,40.7127281,-74.0060152,42.3554334,-71.060511
airplane,El Paso-New York,El Paso,New York,4.822516444904758,3058.013155923806,31.7601164,-106.4870404,40.7127281,-74.0060152
airplane,New York-El Paso,New York,El Paso,4.822516444904758,3058.013155923806,40.7127281,-74.0060152,31.7601164,-106.4870404
airplane,Nashville-New York,Nashville,New York,2.5252536237383283,1220.2028989906626,36.1622767,-86.7742984,40.7127281,-74.0060152
airplane,New York-Nashville,New York,Nashville,2.5252536237383283,1220.2028989906626,40.7127281,-74.0060152,36.1622767,-86.7742984
airplane,Detroit-New York,Detroit,New York,1.9668208044635855,773.4566435708686,42.3315509,-83.0466403,40.7127281,-74.0060152
airplane,New York-Detroit,New York,Detroit,1.9668208044635855,773.4566435708686,40.7127281,-74.0060152,42.3315509,-83.0466403
airplane,Oklahoma City-New York,Oklahoma City,New York,3.6638597224758263,2131.087777980661,35.4729886,-97.5170536,40.7127281,-74.0060152
airplane,New York-Oklahoma City,New York,Oklahoma City,3.6638597224758263,2131.087777980661,40.7127281,-74.0060152,35.4729886,-97.5170536
airplane,Portland-New York,Portland,New York,5.90653334364825,3925.2266749186,45.5202471,-122.674194,40.7127281,-74.0060152
airplane,New York-Portland,New York,Portland,5.90653334364825,3925.2266749186,40.7127281,-74.0060152,45.5202471,-122.674194
airplane,Las Vegas-New York,Las Vegas,New York,5.481679163011888,3585.3433304095106,36.171697,-115.1463536,40.7127281,-74.0060152
airplane,New York-Las Vegas,New York,Las Vegas,5.481679163011888,3585.3433304095106,40.7127281,-74.0060152,36.171697,-115.1463536
airplane,Memphis-New York,Memphis,New York,2.918008401783651,1534.406721426921,35.1460249,-90.0517638,40.7127281,-74.0060152
airplane,New York-Memphis,New York,Memphis,2.918008401783651,1534.406721426921,40.7127281,-74.0060152,35.1460249,-90.0517638
airplane,Baltimore-New York,Baltimore,New York,1.3405185028412512,272.414802273001,39.2908816,-76.610759,40.7127281,-74.0060152
airplane,New York-Baltimore,New York,Baltimore,1.3405185028412512,272.414802273001,40.7127281,-74.0060152,39.2908816,-76.610759
airplane,Louisville-New York,Louisville,New York,2.305197990624747,1044.1583924997974,38.2542376,-85.759407,40.7127281,-74.0060152
airplane,New York-Louisville,New York,Louisville,2.305197990624747,1044.1583924997974,40.7127281,-74.0060152,38.2542376,-85.759407
airplane,Los Angeles-New York,Los Angeles,New York,5.919499113763441,3935.5992910107534,34.0536909,-118.242766,40.7127281,-74.0060152
airplane,New York-Los Angeles,New York,Los Angeles,5.919499113763441,3935.5992910107534,40.7127281,-74.0060152,34.0536909,-118.242766
airplane,Chicago-New York,Chicago,New York,2.42979606213935,1143.83684971148,41.8755616,-87.6244212,40.7127281,-74.0060152
airplane,New York-Chicago,New York,Chicago,2.42979606213935,1143.83684971148,40.7127281,-74.0060152,41.8755616,-87.6244212
airplane,Houston-New York,Houston,New York,3.851600533355089,2281.280426684071,29.7589382,-95.3676974,40.7127281,-74.0060152
airplane,New York-Houston,New York,Houston,3.851600533355089,2281.280426684071,40.7127281,-74.0060152,29.7589382,-95.3676974
airplane,Phoenix-New York,Phoenix,New York,5.304632982803513,3443.7063862428104,33.4484367,-112.074141,40.7127281,-74.0060152
airplane,New York-Phoenix,New York,Phoenix,5.304632982803513,3443.7063862428104,40.7127281,-74.0060152,33.4484367,-112.074141
airplane,Philadelphia-New York,Philadelphia,New York,1.1618625717403224,129.49005739225782,39.9527237,-75.1635262,40.7127281,-74.0060152
airplane,New York-Philadelphia,New York,Philadelphia,1.1618625717403224,129.49005739225782,40.7127281,-74.0060152,39.9527237,-75.1635262
airplane,San Antonio-New York,San Antonio,New York,4.181373988392717,2545.0991907141733,29.4246002,-98.4951405,40.7127281,-74.0060152
airplane,New York-San Antonio,New York,San Antonio,4.181373988392717,2545.0991907141733,40.7127281,-74.0060152,29.4246002,-98.4951405
airplane,San Diego-New York,San Diego,New York,5.884023917886699,3907.21913430936,32.7174202,-117.162772,40.7127281,-74.0060152
airplane,New York-San Diego,New York,San Diego,5.884023917886699,3907.21913430936,40.7127281,-74.0060152,32.7174202,-117.162772
airplane,Dallas-New York,Dallas,New York,3.757169936942471,2205.7359495539768,32.7762719,-96.7968559,40.7127281,-74.0060152
airplane,New York-Dallas,New York,Dallas,3.757169936942471,2205.7359495539768,40.7127281,-74.0060152,32.7762719,-96.7968559
airplane,San Jose-New York,San Jose,New York,6.127863538388092,4102.2908307104735,37.3361663,-121.890591,40.7127281,-74.0060152
airplane,New York-San Jose,New York,San Jose,6.127863538388092,4102.2908307104735,40.7127281,-74.0060152,37.3361663,-121.890591
airplane,Austin-New York,Austin,New York,4.039254367582753,2431.4034940662027,30.2711286,-97.7436995,40.7127281,-74.0060152
airplane,New York-Austin,New York,Austin,4.039254367582753,2431.4034940662027,40.7127281,-74.0060152,30.2711286,-97.7436995
airplane,Jacksonville-New York,Jacksonville,New York,2.680788875258056,1344.631100206445,30.3321838,-81.655651,40.7127281,-74.0060152
airplane,New York-Jacksonville,New York,Jacksonville,2.680788875258056,1344.631100206445,40.7127281,-74.0060152,30.3321838,-81.655651
airplane,Fort Worth-New York,Fort Worth,New York,3.813043579529,2250.4348636232,32.753177,-97.3327459,40.7127281,-74.0060152
airplane,New York-Fort Worth,New York,Fort Worth,3.813043579529,2250.4348636232,40.7127281,-74.0060152,32.753177,-97.3327459
airplane,Columbus-New York,Columbus,New York,1.958224754679263,766.5798037434105,39.9622601,-83.0007065,40.7127281,-74.0060152
airplane,New York-Columbus,New York,Columbus,1.958224754679263,766.5798037434105,40.7127281,-74.0060152,39.9622601,-83.0007065
airplane,Charlotte-New York,Charlotte,New York,2.068227383889906,854.5819071119246,35.2272086,-80.8430827,40.7127281,-74.0060152
airplane,New York-Charlotte,New York,Charlotte,2.068227383889906,854.5819071119246,40.7127281,-74.0060152,35.2272086,-80.8430827
airplane,San Francisco-New York,San Francisco,New York,6.161142697501214,4128.914158000971,37.7792588,-122.4193286,40.7127281,-74.0060152
airplane,New York-San Francisco,New York,San Francisco,6.161142697501214,4128.914158000971,40.7127281,-74.0060152,37.7792588,-122.4193286
airplane,Indianapolis-New York,Indianapolis,New York,2.294967493146828,1035.9739945174624,39.7683331,-86.1583502,40.7127281,-74.0060152
airplane,New York-Indianapolis,New York,Indianapolis,2.294967493146828,1035.9739945174624,40.7127281,-74.0060152,39.7683331,-86.1583502
airplane,Seattle-New York,Seattle,New York,5.831763073908357,3865.4104591266855,47.6038321,-122.330062,40.7127281,-74.0060152
airplane,New York-Seattle,New York,Seattle,5.831763073908357,3865.4104591266855,40.7127281,-74.0060152,47.6038321,-122.330062
airplane,Denver-New York,Denver,New York,4.273250410371205,2618.600328296963,39.7392364,-104.984862,40.7127281,-74.0060152
airplane,New York-Denver,New York,Denver,4.273250410371205,2618.600328296963,40.7127281,-74.0060152,39.7392364,-104.984862
airplane,Washington-New York,Washington,New York,1.4105015048413532,328.40120387308264,38.8950368,-77.0365427,40.7127281,-74.0060152
airplane,New York-Washington,New York,Washington,1.4105015048413532,328.40120387308264,40.7127281,-74.0060152,38.8950368,-77.0365427
airplane,Boston-New York,Boston,New York,1.3821298629919068,305.70389039352534,42.3554334,-71.060511,40.7127281,-74.0060152
airplane,New York-Boston,New York,Boston,1.3821298629919068,305.70389039352534,40.7127281,-74.0060152,42.3554334,-71.060511
airplane,El Paso-New York,El Paso,New York,4.822516444904758,3058.013155923806,31.7601164,-106.4870404,40.7127281,-74.0060152
airplane,New York-El Paso,New York,El Paso,4.822516444904758,3058.013155923806,40.7127281,-74.0060152,31.7601164,-106.4870404
airplane,Nashville-New York,Nashville,New York,2.5252536237383283,1220.2028989906626,36.1622767,-86.7742984,40.7127281,-74.0060152
airplane,New York-Nashville,New York,Nashville,2.5252536237383283,1220.2028989906626,40.7127281,-74.0060152,36.1622767,-86.7742984
airplane,Detroit-New York,Detroit,New York,1.9668208044635855,773.4566435708686,42.3315509,-83.0466403,40.7127281,-74.0060152
airplane,New York-Detroit,New York,Detroit,1.9668208044635855,773.4566435708686,40.7127281,-74.0060152,42.3315509,-83.0466403
airplane,Oklahoma City-New York,Oklahoma City,New York,3.6638597224758263,2131.087777980661,35.4729886,-97.5170536,40.7127281,-74.0060152
airplane,New York-Oklahoma City,New York,Oklahoma City,3.6638597224758263,2131.087777980661,40.7127281,-74.0060152,35.4729886,-97.5170536
airplane,Portland-New York,Portland,New York,5.90653334364825,3925.2266749186,45.5202471,-122.674194,40.7127281,-74.0060152
airplane,New York-Portland,New York,Portland,5.90653334364825,3925.2266749186,40.7127281,-74.0060152,45.5202471,-122.674194
airplane,Las Vegas-New York,Las Vegas,New York,5.481679163011888,3585.3433304095106,36.171697,-115.1463536,40.7127281,-74.0060152
airplane,New York-Las Vegas,New York,Las Vegas,5.481679163011888,3585.3433304095106,40.7127281,-74.0060152,36.171697,-115.1463536
airplane,Memphis-New York,Memphis,New York,2.918008401783651,1534.406721426921,35.1460249,-90.0517638,40.7127281,-74.0060152
airplane,New York-Memphis,New York,Memphis,2.918008401783651,1534.406721426921,40.7127281,-74.0060152,35.1460249,-90.0517638
airplane,Baltimore-New York,Baltimore,New York,1.3405185028412512,272.414802273001,39.2908816,-76.610759,40.7127281,-74.0060152
airplane,New York-Baltimore,New York,Baltimore,1.3405185028412512,272.414802273001,40.7127281,-74.0060152,39.2908816,-76.610759
airplane,Louisville-New York,Louisville,New York,2.305197990624747,1044.1583924997974,38.2542376,-85.759407,40.7127281,-74.0060152
airplane,New York-Louisville,New York,Louisville,2.305197990624747,1044.1583924997974,40.7127281,-74.0060152,38.2542376,-85.759407
airplane,Los Angeles-New York,Los Angeles,New York,5.919499113763441,3935.5992910107534,34.0536909,-118.242766,40.7127281,-74.0060152
